as_of_date,instrument_id,settle_date,mark_type,value,source,snapped_at
2026-07-08,AUDUSD,2026-07-08,SPOT,0.693,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,GBPUSD,2026-07-08,SPOT,1.3389,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,NZDUSD,2026-07-08,SPOT,0.57,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,USDCAD,2026-07-08,SPOT,1.4173,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,USDCHF,2026-07-08,SPOT,0.8085,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,USDHKD,2026-07-08,SPOT,7.8392,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,USDJPY,2026-07-08,SPOT,162.59,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,USDNOK,2026-07-08,SPOT,9.7671,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-08,USDSEK,2026-07-08,SPOT,9.6969,BBG_BFXFORWARD,2026-07-08T17:00:00-04:00
2026-07-09,AUDUSD,2026-07-09,SPOT,0.6941,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,GBPUSD,2026-07-09,SPOT,1.3408,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,NZDUSD,2026-07-09,SPOT,0.5755,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,USDCAD,2026-07-09,SPOT,1.4168,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,USDCHF,2026-07-09,SPOT,0.807,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,USDHKD,2026-07-09,SPOT,7.8359,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,USDJPY,2026-07-09,SPOT,162.38,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,USDNOK,2026-07-09,SPOT,9.7249,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-09,USDSEK,2026-07-09,SPOT,9.6652,BBG_BFXFORWARD,2026-07-09T17:00:00-04:00
2026-07-10,AUDUSD,2026-07-10,SPOT,0.6954,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,GBPUSD,2026-07-10,SPOT,1.3404,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,NZDUSD,2026-07-10,SPOT,0.5763,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,USDCAD,2026-07-10,SPOT,1.4154,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,USDCHF,2026-07-10,SPOT,0.8086,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,USDHKD,2026-07-10,SPOT,7.8388,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,USDJPY,2026-07-10,SPOT,161.68,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,USDNOK,2026-07-10,SPOT,9.7824,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-10,USDSEK,2026-07-10,SPOT,9.6626,BBG_BFXFORWARD,2026-07-10T17:00:00-04:00
2026-07-13,AUDUSD,2026-07-13,SPOT,0.6918,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,GBPUSD,2026-07-13,SPOT,1.3348,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,NZDUSD,2026-07-13,SPOT,0.575,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,USDCAD,2026-07-13,SPOT,1.4155,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,USDCHF,2026-07-13,SPOT,0.8147,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,USDHKD,2026-07-13,SPOT,7.8377,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,USDJPY,2026-07-13,SPOT,162.43,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,USDNOK,2026-07-13,SPOT,9.792,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-13,USDSEK,2026-07-13,SPOT,9.7186,BBG_BFXFORWARD,2026-07-13T17:00:00-04:00
2026-07-14,AUDUSD,2026-07-14,SPOT,0.6975,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,GBPUSD,2026-07-14,SPOT,1.339,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,NZDUSD,2026-07-14,SPOT,0.5815,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,USDCAD,2026-07-14,SPOT,1.4059,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,USDCHF,2026-07-14,SPOT,0.8091,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,USDHKD,2026-07-14,SPOT,7.8377,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,USDJPY,2026-07-14,SPOT,162.25,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,USDNOK,2026-07-14,SPOT,9.6923,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-14,USDSEK,2026-07-14,SPOT,9.6662,BBG_BFXFORWARD,2026-07-14T17:00:00-04:00
2026-07-15,AUDUSD,2026-07-15,SPOT,0.7004,BBG_BFXFORWARD,2026-07-15T17:00:00-04:00
2026-07-15,GBPUSD,2026-07-15,SPOT,1.354,BBG_BFXFORWARD,2026-07-15T17:00:00-04:00
